"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,2.32,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,2.21,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-09","Sep-2017","PC","Percentage","0","Units",,,2.2,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-10","Oct-2017","PC","Percentage","0","Units",,,2.36,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-11","Nov-2017","PC","Percentage","0","Units",,,2.35,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2017-12","Dec-2017","PC","Percentage","0","Units",,,2.4,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2018-01","Jan-2018","PC","Percentage","0","Units",,,2.58,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2018-02","Feb-2018","PC","Percentage","0","Units",,,2.86,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2018-03","Mar-2018","PC","Percentage","0","Units",,,2.84,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-01","Jan-2007","PC","Percentage","0","Units",,,6.77,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-02","Feb-2007","PC","Percentage","0","Units",,,6.77,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-03","Mar-2007","PC","Percentage","0","Units",,,6.77,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-04","Apr-2007","PC","Percentage","0","Units",,,6.73,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-05","May-2007","PC","Percentage","0","Units",,,6.68,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-06","Jun-2007","PC","Percentage","0","Units",,,6.68,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-07","Jul-2007","PC","Percentage","0","Units",,,6.65,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-08","Aug-2007","PC","Percentage","0","Units",,,6.71,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-09","Sep-2007","PC","Percentage","0","Units",,,6.82,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-10","Oct-2007","PC","Percentage","0","Units",,,6.7,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-11","Nov-2007","PC","Percentage","0","Units",,,6.67,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2007-12","Dec-2007","PC","Percentage","0","Units",,,6.66,,
"IRLT","Long-term interest rates, Per cent per annum","RUS","Russia","M","Monthly","2008-01","Jan-2008","PC","Percentage","0","Units",,,6.63,,
